,Name,Loc x - heel ball,Loc y - heel ball,Loc x - toe ball,Loc y - toe ball,Loc x - center,Loc y - center,Panel - heel,Panel - toe,Rotation,Left foot,Right foot,Left hand,Right hand,Big feet only,"p1,1","p1,3","p1,5","p1,7","p1,9","p2,1","p2,3","p2,5","p2,7","p2,9",Notes,Rare,Support rotated heel-toe,Unusual,Cost - basic,Cost - beginner,Cost - basicold
38,p2`14,1113,544,1113,383,1113,463.5,"p2,1","p2,4",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,10,0
39,p2`47,1111,474,1111,313,1111,393.5,"p2,4","p2,7",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0,10,0
40,p2`51,1226,479,1094,572,1160,525.5,"p2,5","p2,1",-125,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,,Right foot,,,0.9,10,4
41,p2`15,1114,572,1206,440,1160,506,"p2,1","p2,5",35,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,,Right foot,,,0.3,10,3.5
42,p2`54,1209,501,1106,377,1157.5,439,"p2,5","p2,4",-40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,0,10,0.02
43,p2`75,1096,265,1228,357,1162,311,"p2,7","p2,5",125,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,,Both feet,,,2,10,5
44,p2`57,1196,412,1104,280,1150,346,"p2,5","p2,7",-35,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,,,,,0.3,10,3.5
45,p2`35,1476,572,1384,440,1430,506,"p2,3","p2,5",-35,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,,Left foot,,,0.3,10,3.5
46,p2`53,1364,479,1496,572,1430,525.5,"p2,5","p2,3",125,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,,Left foot,,,0.9,10,4
47,p2`56,1386,501,1489,377,1437.5,439,"p2,5","p2,6",40,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,0,10,0.02
48,p2`59,1394,412,1486,280,1440,346,"p2,5","p2,9",35,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,,,,,0.3,10,3.5
49,p2`95,1498,265,1366,357,1432,311,"p2,9","p2,5",-125,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,,Both feet,,,2,10,5
50,p2`36,1480,535,1480,373.5,1480,454.25,"p2,3","p2,6",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0,10,0
51,p2`69,1480,474,1480,312.5,1480,393.25,"p2,6","p2,9",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,10,0
52,p2`44,1111,499,1111,338,1111,418.5,"p2,4","p2,4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Initial,,,1,0,0,0
53,p2`66,1480,499,1480,338,1480,418.5,"p2,6","p2,6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Initial,,,1,0,0,0
54,p2`21,1292,603,1131,603,1211.5,603,"p2,2","p2,1",-90,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,Right foot,1,3,10,3
55,p2`12,1131,603,1292,603,1211.5,603,"p2,1","p2,2",90,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,Left foot,1,3,10,3
56,p2`78,1131,234,1292,234,1211.5,234,"p2,7","p2,8",90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Left foot,1,3,10,3
57,p2`87,1292,234,1131,234,1211.5,234,"p2,8","p2,7",-90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Right foot,1,3,10,3
58,p2`52,1393,507,1270,611,1331.5,559,"p2,5","p2,2",-130,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Both feet,1,3,10,3
59,p2`58,1393,326,1270,222,1331.5,274,"p2,5","p2,8",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Both feet,1,3,10,3
60,p2`23,1301,603,1462,603,1381.5,603,"p2,2","p2,3",90,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Right foot,1,3,10,3
61,p2`32,1462,603,1301,603,1381.5,603,"p2,3","p2,2",-90,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Left foot,1,3,10,3
62,p2`89,1301,234,1462,234,1381.5,234,"p2,8","p2,9",90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,Left foot,1,3,10,3
63,p2`98,1462,234,1301,234,1381.5,234,"p2,9","p2,8",-90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,Right foot,1,3,10,3
64,p2`17,1109,520,1109,359,1109,439.5,"p2,1","p2,7",0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,,,,1,6,10,6
65,p2`39,1479,520,1479,359,1479,439.5,"p2,3","p2,9",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,,,,1,6,10,6
66,p1`a3c,804,535,804,535,804,535,air,"p1,3",any,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,Center,,,,0.01,0,0.01
67,p1`a9c,804,313,804,313,804,313,air,"p1,9",any,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,Center,,,,0.01,0,0.01
68,p2`a1c,913,535,913,535,913,535,air,"p2,1",any,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,Center,,,,0.01,0,0.01
69,p2`a7c,913,313,913,313,913,313,air,"p2,7",any,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,Center,,,,0.01,0,0.01
70,p2`7-p1`9,937,266,776,266,856.5,266,"p2,7","p1,9",-90,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,Center,,,,0.4,10,3.5
71,p1`9-p2`7,776,266,937,266,856.5,266,"p1,9","p2,7",90,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,Center,,,,0.4,10,3.5
72,p2`1-p1`3,937,582,776,582,856.5,582,"p2,1","p1,3",-90,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,Center,,,,0.4,10,3.5
73,p1`3-p2`1,776,582,937,582,856.5,582,"p1,3","p2,1",90,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,Center,,,,0.4,10,3.5
74,p1`36c,792,542,792,381,792,461.5,"p1,3","p1,6",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Center,,,,0,10,0
75,p1`69c,792,467,792,306,792,386.5,"p1,6","p1,9",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Center,,,,0,10,0
76,p2`14c,925,542,925,381,925,461.5,"p2,1","p2,4",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Center,,,,0,10,0
77,p2`47c,925,467,925,306,925,386.5,"p2,4","p2,7",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Center,,,,0,10,0
78,p1`3-p2`4c,798,535,866,389,832,462,"p1,3","p2,4",25,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Center,,,,0,10,0.02
79,p2`1-p1`6c,913,535,845,389,879,462,"p2,1","p1,6",-25,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Center,,,,0,10,0.02
80,p2`4-p1`9c,863,445,795,299,829,372,"p2,4","p1,9",-25,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Center,,,,0,10,0.02
81,p1`6-p2`7c,845,445,913,299,879,372,"p1,6","p2,7",25,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Center,,,,0,10,0.02
