,Node,Line node,Stance action,Tag,Running cost,Annotation,Motif,Time,Beat,Line,Line with active holds,Twist angle,BPM,Left foot hint,Right foot hint,Left foot,Right foot,Left hand,Right hand,Cost,foot_inversion,angle,hand_inversion,foot_position,hold_footslide,hold_footswitch,move,jump,bracket,hands,move_without_action,downpress,double_step,min_cost,multihit,double_step_in_multi,bracket_for_1panel,hold_alternate,Time since,Beat since,Time since downpress,Beat since downpress,Has downpress,Notes per second since downpress,Has downpress adj.,Body angle,Hold,Hold taps,Splits,Jump,Bracket,Double step,Twist angle,Footswitch,Jack,Bracket footswitch,Hold tap single foot,Hold footslide,Hold footswitch,Staggered hit,Hands,Travel (mm),Drill,Run,Hold run,Bracket drill,Irregular rhythm,Rhythm change,Bracket jump run,Side3 singles,Mid4 doubles,Mid6 doubles,Run with brackets,Jump run,"Stairs, doubles","Stairs, singles","Broken stairs, doubles",Spin,Twist solo diagonal
10,"27.0:p2`14c,p2`36;1-,--:any-any-any",27,"p2`14c,p2`36;1-,--",any-any-any,11.7,alternate,,8.526315789,27,`0000010000,`0000010000,none,190,1,,1,,,,0.05,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0.25,0,0,0,0,0.315789474,1,0.315789474,1,TRUE,3.166666667,TRUE,0.748415812,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,"28.0:p2`14c,p2`a9;--,-1:any-any-any",28,"p2`14c,p2`a9;--,-1",any-any-any,12.08,alternate,,8.842105263,28,`0000000010,`0000000010,none,190,,1,,1,,,0.38,0,0,0,0.01,0,0,0.119048259,0,0,0,0,0,0,0.25,0,0,0,0,0.315789474,1,0.315789474,1,TRUE,3.166666667,TRUE,14.97959727,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,282.5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,"29.0:p1`6-p2`7c,p2`a9;-1,--:any-any-any",29,"p1`6-p2`7c,p2`a9;-1,--",any-any-any,12.53,alternate,,9.157894737,29,`0000001000,`0000001000,none,190,1,,1,,,,0.45,0,0,0,0.01,0,0,0.190859025,0,0,0,0,0,0,0.25,0,0,0,0,0.315789474,1,0.315789474,1,TRUE,3.166666667,TRUE,5.606745241,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,208.6072433,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,"29.5:p1`6-p2`7c,p2`45;--,-1:any-any-any",29.5,"p1`6-p2`7c,p2`45;--,-1",any-any-any,14.08,alternate,,9.315789474,29.5,`0000000100,`0000000100,none,190,,1,,1,,,1.55,0,0,0,0,0,0,1.302872279,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,334.5050042,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,745.916046,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,"32.0:p1`a1,p2`45;-1,--:any-any-any",32,"p1`a1,p2`45;-1,--",any-any-any,18.2,,,10.10526316,32,`1000000000,`1000000000,none,190,1,,1,,,,4.12,0,0,0,0.01,0,0,3.864141889,0,0,0,0,0,0,0.25,0,0,0,0,0.789473684,2.5,0.789473684,2.5,TRUE,1.266666667,TRUE,1.797654066,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1332.569696,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,"32.5:p1`a1,p1`3-p2`4c;--,1-:any-any-any",32.5,"p1`a1,p1`3-p2`4c;--,1-",any-any-any,19.67,alternate,,10.26315789,32.5,`0000100000,`0000100000,none,190,,1,,1,,,1.47,0,0,0,0.01,0,0,1.214038634,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,6.982990332,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,614.849081,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,"33.0:p1`a1,p1`3-p2`4c;-1,--:any-any-any",33,"p1`a1,p1`3-p2`4c;-1,--",any-any-any,19.73,alternate,,10.42105263,33,`1000000000,`1000000000,none,190,1,,1,,,,0.06,0,0,0,0.01,0,0,-0.2,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,6.982990332,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,"33.5:p1`a1,p1`3-p2`4c;--,1-:any-any-any",33.5,"p1`a1,p1`3-p2`4c;--,1-",any-any-any,19.79,alternate,,10.57894737,33.5,`0000100000,`0000100000,none,190,,1,,1,,,0.06,0,0,0,0.01,0,0,-0.2,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,6.982990332,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,"34.0:p1`47,p1`3-p2`4c;-1,--:any-any-any",34,"p1`47,p1`3-p2`4c;-1,--",any-any-any,20.16,alternate,,10.73684211,34,`0100000000,`0100000000,none,190,1,,1,,,,0.37,0,0,0,0,0,0,0.120624269,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,353.4653366,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,283.0417869,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,"34.5:p1`47,p1`69c;--,-1:any-any-any",34.5,"p1`47,p1`69c;--,-1",any-any-any,20.55,alternate,,10.89473684,34.5,`0001000000,`0001000000,none,190,,1,,1,,,0.39,0,0,0,0,0,0,0.142685363,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,0.718726558,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,179.4622142,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
